homelat,homelon,homecontinent,n
28.5,77.2,Asia,1
28.5,77.4,Asia,2
28.6,77,Asia,1
28.6,77.1,Asia,2
28.6,77.2,Asia,109
28.6,77.3,Asia,13
28.6,83.9,Asia,1

28.7,77.1,Asia,44
28.7,77.2,Asia,1

28.8,76,Asia,1
28.8,78.8,Asia,9
28.8,79.5,Asia,1

28.9,76.6,Asia,2

29,77.7,Asia,3

29.3,42.6,Asia,7
29.3,47.5,Asia,50
29.3,47.9,Asia,2
29.3,48.1,Asia,3
29.3,79.5,Asia,1

29.4,48,Asia,1
29.4,75.7,Asia,1

29.5,75,Asia,1

29.6,43.5,Asia,2
29.6,53.3,Asia,1
29.6,70.6,Asia,1
29.6,106.5,Asia,2

29.7,77,Asia,1

29.8,121.6,Asia,2

29.9,78.2,Asia,1
29.9,121.5,Asia,1

30,106.3,Asia,1

30.2,71.5,Asia,2
30.2,120.1,Asia,32

30.3,76.4,Asia,1
30.3,120.2,Asia,2

30.4,69.3,Asia,45

30.5,114.4,Asia,2

30.6,36.2,Asia,2
30.6,114.3,Asia,3
30.6,117.9,Asia,1

30.7,76.7,Asia,2
30.7,76.8,Asia,8

30.9,75.9,Asia,5

31.1,51.4,Asia,1
31.1,74.6,Asia,1
31.1,76,Asia,1
31.1,77.2,Asia,7
31.1,77.4,Asia,1

31.2,72.7,Asia,2
31.2,121.5,Asia,9

31.4,73.1,Asia,3
31.4,77.2,Asia,1

31.5,131.1,Asia,1

31.6,74.4,Asia,25
31.6,130.5,Asia,3
31.6,130.6,Asia,1

31.9,35.9,Asia,12
31.9,54.4,Asia,1
31.9,131.4,Asia,32

32,118.8,Asia,1
32,120.9,Asia,1

32.1,118.8,Asia,1

32.2,74.2,Asia,1
32.2,76,Asia,1
32.2,77.2,Asia,1

32.4,53.7,Asia,21
32.4,131.6,Asia,1

32.5,74.5,Asia,2

32.6,73.5,Asia,1
32.6,131,Asia,6

32.7,117,Asia,2

32.8,129.9,Asia,2
32.8,130.2,Asia,8
32.8,130.7,Asia,23

32.9,132.7,Asia,1

33,129.1,Asia,12
33,130.4,Asia,1
33,132.9,Asia,2
33,133,Asia,19

33.1,119.8,Asia,1
33.1,130.4,Asia,1

33.2,43.7,Asia,5
33.2,129.7,Asia,9
33.2,130.3,Asia,1
33.2,131.4,Asia,1
33.2,131.6,Asia,4

33.3,44.4,Asia,8
33.3,130.3,Asia,1
33.3,130.9,Asia,20

33.4,130.5,Asia,2

33.5,73.2,Asia,1
33.5,119.8,Asia,1
33.5,126.5,Asia,1
33.5,130.5,Asia,5

33.6,73,Asia,4
33.6,73.4,Asia,1
33.6,130.2,Asia,4
33.6,130.4,Asia,349
33.6,130.7,Asia,2
33.6,133.5,Asia,12
33.6,133.6,Asia,2
33.6,134.3,Asia,1

33.7,73.1,Asia,16
33.7,131,Asia,1

33.8,35.5,Asia,1
33.8,130.5,Asia,3
33.8,132.8,Asia,9

33.9,35.9,Asia,15
33.9,67.7,Asia,2
33.9,130.9,Asia,11
33.9,134.7,Asia,2

34,71.6,Asia,1
34,72,Asia,1
34,100.6,Asia,15
34,131.2,Asia,3
34,134.6,Asia,20

34.1,74.8,Asia,1
34.1,114.9,Asia,1
34.1,134.6,Asia,6

34.2,108.9,Asia,1
34.2,131.4,Asia,1
34.2,131.5,Asia,126
34.2,133.8,Asia,1
34.2,134.4,Asia,3
34.2,135.2,Asia,8

34.3,113.4,Asia,1
34.3,132.6,Asia,1
34.3,133.7,Asia,10
34.3,134,Asia,3
34.3,134.2,Asia,2
34.3,135.3,Asia,2

34.4,132.3,Asia,2
34.4,132.5,Asia,37
34.4,132.7,Asia,1
34.4,133.1,Asia,1
34.4,133.2,Asia,3
34.4,134.8,Asia,1
34.4,135.3,Asia,1

34.5,43.5,Asia,1
34.5,46.7,Asia,2
34.5,69.2,Asia,1
34.5,133.4,Asia,12

34.5,135.4,Asia,56
34.5,135.5,Asia,22
34.5,135.6,Asia,2
34.5,136.7,Asia,1

34.6,69.2,Asia,6
34.6,133.7,Asia,2
34.6,133.8,Asia,651

34.6,135.5,Asia,36
34.6,135.6,Asia,5
34.6,138.1,Asia,9

34.7,113.6,Asia,22
34.7,133.9,Asia,50
34.7,134.9,Asia,4
34.7,135.2,Asia,59
34.7,135.3,Asia,7
34.7,135.4,Asia,18
34.7,135.5,Asia,578
34.7,135.6,Asia,8
34.7,135.8,Asia,8
34.7,136.5,Asia,5
34.7,137.7,Asia,101
34.7,137.9,Asia,7
